id,student_id,course_id
0,605,17
1,7851,11
2,1313,1
3,9687,1
4,5399,6
5,5477,7
6,7807,13
7,8810,17
8,4295,6
9,9018,10
10,8485,17
11,2604,12
12,7501,5
13,2510,9
14,8028,3
15,3674,17
16,9271,5
17,8670,10
18,4774,16
19,1553,14
20,8318,7
21,8605,1
22,2999,12
23,6710,15
24,5935,10
25,4382,14
26,2011,12
27,2370,12
28,4197,9
29,3853,14
30,2941,6
31,9572,7
32,1800,13
33,2847,12
34,3650,5
35,5049,6
36,20,10
37,6703,5
38,9970,10
39,5611,11
40,1229,7
41,6157,13
42,2689,9
43,9595,6
44,9482,5
45,180,3
46,9227,9
47,3336,14
48,204,14
49,7359,12
50,6272,15
51,3305,5
52,8221,1
53,3781,13
54,9051,7
55,30,7
56,3108,11
57,1143,6
58,2992,10
59,1252,9
60,2022,6
61,2979,14
62,5968,6
63,2850,3
64,240,10
65,4498,8
66,7180,1
67,761,13
68,9020,12
69,4066,11
70,458,11
71,4577,11
72,7095,4
73,9241,10
74,5014,14
75,2078,8
76,9161,9
77,1153,14
78,277,17
79,2245,6
80,4583,7
81,8588,4
82,3625,17
83,1546,8
84,1821,15
85,9850,11
86,625,5
87,5796,9
88,5358,7
89,1032,10
90,8925,4
91,3933,16
92,8665,13
93,7541,14
94,7281,5
95,2772,13
96,6156,15
97,671,11
98,2310,14
99,7738,5
100,9724,14
101,9781,15
102,6435,13
103,5873,14
104,6932,7
105,8810,8
106,5905,1
107,5633,5
108,2557,7
109,2678,13
110,2785,10
111,5306,14
112,9643,14
113,4567,5
114,9369,13
115,6012,3
116,6276,4
117,6994,11
118,6491,16
119,9145,13
120,8448,12
121,3419,12
122,946,6
123,3687,17
124,8242,7
125,8015,8
126,6229,14
127,2304,12
128,4350,12
129,9460,3
130,1302,8
131,4276,9
132,6158,9
133,7021,1
134,6603,11
135,3136,15
136,7798,5
137,4572,12
138,6232,15
139,7048,13
140,6513,13
141,8044,8
142,2036,4
143,3970,4
144,3534,14
145,4520,13
146,2882,13
147,6977,5
148,7140,10
149,5638,12
150,7491,2
151,948,10
152,9941,6
153,5154,9
154,5667,17
155,5300,16
156,6574,13
157,8461,13
158,6599,6
159,3209,7
160,6534,14
161,620,11
162,554,10
163,5143,12
164,4357,6
165,5045,12
166,7967,15
167,3978,11
168,8179,5
169,3426,6
170,3015,13
171,8962,14
172,6909,3
173,6787,12
174,8330,10
175,1721,14
176,2218,1
177,5876,13
178,3917,17
179,2775,13
180,5802,5
181,5864,12
182,8296,17
183,4536,14
184,8997,7
185,1502,15
186,6651,4
187,6323,13
188,2806,13
189,7802,6
190,1865,6
191,1960,9
192,8793,2
193,4627,10
194,4197,8
195,7289,14
196,5853,5
197,7597,6
198,9621,17
199,3579,13
200,8886,15
201,4173,11
202,4337,12
203,4042,9
204,2151,11
205,4188,12
206,4226,17
207,1744,11
208,5263,6
209,9121,12
210,5723,11
211,8491,6
212,8283,1
213,6020,7
214,3242,17
215,137,8
216,6328,6
217,8621,14
218,5196,15
219,4113,8
220,7242,14
221,4085,3
222,2112,14
223,560,14
224,9914,17
225,2062,16
226,5667,13
227,6693,16
228,1323,14
229,4093,14
230,2241,3
231,9445,12
232,8923,17
233,5297,5
234,8391,9
235,1850,12
236,9904,12
237,9124,10
238,8870,17
239,7229,11
240,6457,3
241,7231,1
242,5091,13
243,7016,13
244,8471,5
245,3834,7
246,1375,15
247,9161,12
248,2445,14
249,2546,10
250,4158,10
251,8223,17
252,8798,11
253,9382,14
254,1273,9
255,4776,14
256,9147,1
257,8033,5
258,6715,9
259,6521,17
260,8474,2
261,2808,17
262,475,10
263,2962,14
264,3068,14
265,2378,12
266,949,4
267,1620,16
268,8362,13
269,1221,11
270,1832,7
271,2808,11
272,6033,16
273,889,11
274,5362,13
275,7322,15
276,15,5
277,369,8
278,5244,14
279,7503,14
280,1973,14
281,1564,7
282,1452,4
283,9682,13
284,7892,7
285,4794,17
286,8210,11
287,8309,13
288,3833,7
289,4306,10
290,8823,13
291,4816,8
292,1574,12
293,585,6
294,3058,7
295,3924,12
296,1282,13
297,2038,12
298,3242,5
299,9154,13
300,2417,12
301,4655,9
302,8912,11
303,7161,9
304,3443,17
305,7089,11
306,1938,10
307,5778,8
308,1903,13
309,7924,14
310,8883,17
311,6124,11
312,6854,9
313,1508,9
314,2874,13
315,2320,12
316,1598,10
317,6179,7
318,134,9
319,9039,12
320,9609,13
321,3340,12
322,9074,7
323,4499,12
324,3731,11
325,3874,14
326,117,17
327,9441,14
328,7954,10
329,3551,14
330,877,9
331,7137,6
332,3096,13
333,4066,13
334,4836,4
335,3214,7
336,9098,10
337,5517,10
338,9496,14
339,8505,12
340,7707,9
341,345,17
342,6969,13
343,4798,15
344,4687,12
345,3094,7
346,7551,8
347,7777,10
348,3888,12
349,1192,15
350,4101,14
351,8821,13
352,907,13
353,8357,14
354,7944,2
355,6273,8
356,4950,9
357,3946,5
358,774,7
359,8168,14
360,4421,13
361,8601,14
362,666,5
363,7940,5
364,1566,11
365,1645,12
366,9803,11
367,8844,11
368,8147,11
369,6042,10
370,1092,12
371,6573,14
372,7614,11
373,4267,11
374,5795,10
375,7413,10
376,1345,14
377,2956,1
378,4029,9
379,3183,16
380,1505,9
381,6602,17
382,9750,15
383,1567,8
384,8453,6
385,6503,7
386,7002,14
387,9522,4
388,1967,14
389,6340,2
390,7838,12
391,5594,11
392,8389,16
393,8256,9
394,4350,10
395,2602,5
396,9976,7
397,9708,9
398,9853,3
399,3676,13
400,1747,7
401,4882,9
402,8410,15
403,1735,14
404,5055,6
405,9994,12
406,4725,17
407,658,10
408,8110,13
409,2682,8
410,8684,9
411,7501,11
412,1016,14
413,5593,12
414,9033,13
415,9560,3
416,4571,13
417,3598,5
418,1938,7
419,2840,8
420,1070,13
421,1770,5
422,6580,11
423,1165,14
424,4790,13
425,8239,1
426,8763,11
427,1653,6
428,6668,11
429,4886,14
430,8022,16
431,5078,9
432,7535,6
433,9933,10
434,119,5
435,4320,14
436,6998,12
437,9982,14
438,9025,9
439,7724,2
440,5769,14
441,3754,13
442,1806,10
443,9101,10
444,7618,10
445,7439,11
446,3371,8
447,8295,17
448,2751,17
449,1464,14
450,9337,11
451,9706,13
452,2354,11
453,2377,14
454,6745,10
455,7769,8
456,612,12
457,568,15
458,6588,2
459,206,13
460,7852,14
461,5338,14
462,3828,6
463,1736,6
464,8649,11
465,4747,9
466,4992,8
467,1856,7
468,4115,9
469,8888,12
470,6575,16
471,7751,11
472,8790,13
473,5775,10
474,5651,17
475,4991,11
476,277,1
477,6816,14
478,6188,8
479,9053,10
480,1092,5
481,5142,6
482,5331,9
483,1111,15
484,2751,10
485,8997,14
486,6813,10
487,107,8
488,8716,5
489,8198,15
490,7570,11
491,5419,9
492,720,13
493,7792,17
494,3559,8
495,2015,8
496,3824,10
497,6145,6
498,834,13
499,6366,12
500,979,5
501,3508,10
502,9548,6
503,6055,12
504,4603,12
505,4866,12
506,3262,5
507,5776,7
508,1221,5
509,5020,7
510,396,7
511,5712,17
512,5354,17
513,6261,14
514,6538,5
515,1429,5
516,4838,16
517,6788,10
518,1557,7
519,5752,2
520,9148,2
521,810,10
522,1728,15
523,119,7
524,6302,16
525,7143,6
526,8095,11
527,6941,11
528,4003,2
529,3721,12
530,6853,14
531,219,14
532,5402,7
533,8626,14
534,2208,12
535,86,14
536,6885,4
537,7262,13
538,3024,9
539,8411,17
540,9133,6
541,4498,14
542,7811,7
543,4060,10
544,2258,14
545,7987,14
546,4418,8
547,1053,11
548,3496,5
549,5121,6
550,5866,8
551,2791,17
552,9553,13
553,7756,10
554,3513,11
555,4153,11
556,7100,7
557,9671,1
558,4636,8
559,7671,9
560,8609,13
561,6589,8
562,8859,13
563,9045,17
564,1301,1
565,4432,13
566,2332,6
567,9703,11
568,8753,14
569,3903,16
570,5160,14
571,7469,10
572,6043,12
573,5910,8
574,1419,13
575,6787,11
576,3537,16
577,2967,12
578,7449,1
579,75,6
580,2064,17
581,924,13
582,7485,13
583,9241,10
584,363,5
585,9713,14
586,2834,14
587,8731,10
588,8258,7
589,2570,9
590,5858,17
591,5603,7
592,2945,12
593,8921,10
594,4074,14
595,7107,17
596,3821,13
597,3373,13
598,4000,7
599,6564,9
600,2446,14
601,427,1
602,6109,9
603,589,17
604,4470,14
605,9939,9
606,4409,10
607,2171,12
608,3780,12
609,5173,10
610,2840,11
611,5016,14
612,632,10
613,1293,12
614,3839,3
615,3363,6
616,7506,13
617,3109,3
618,5591,7
619,9934,8
620,4441,14
621,6950,12
622,5212,13
623,2775,12
624,287,7
625,577,17
626,9498,13
627,4234,4
628,3170,10
629,5491,12
630,8090,10
631,8727,14
632,9715,12
633,8437,4
634,1678,13
635,8244,9
636,9215,14
637,4973,5
638,7082,14
639,9136,7
640,6400,13
641,6258,12
642,1904,7
643,5174,2
644,2131,9
645,3455,7
646,7628,5
647,8451,7
648,5612,9
649,6190,9
650,265,14
651,6248,16
652,1220,6
653,884,10
654,7027,2
655,6243,9
656,5840,2
657,4126,5
658,709,5
659,609,2
660,1058,8
661,9217,5
662,4221,8
663,7954,2
664,5348,5
665,6091,5
666,5042,9
667,7732,14
668,4992,6
669,1840,11
670,8102,13
671,5450,1
672,6618,10
673,3171,8
674,8263,13
675,9059,7
676,9556,6
677,59,3
678,678,14
679,8754,10
680,4670,1
681,8737,5
682,8554,8
683,5205,12
684,7743,11
685,7217,8
686,2872,16
687,4573,4
688,4156,7
689,3479,13
690,2717,14
691,3784,9
692,1587,6
693,1561,6
694,6834,14
695,7250,11
696,5491,13
697,3531,13
698,124,14
699,3825,1
700,8770,8
701,5933,7
702,5146,12
703,283,7
704,1900,11
705,7614,13
706,7412,6
707,6786,6
708,3504,5
709,4551,15
710,1328,12
711,3086,1
712,1726,7
713,8758,16
714,8882,12
715,6076,9
716,865,9
717,1752,14
718,4245,10
719,816,10
720,3537,6
721,1233,10
722,5970,14
723,2120,6
724,8553,6
725,4595,17
726,4509,9
727,2428,7
728,3091,13
729,5764,2
730,2407,12
731,7636,14
732,1831,9
733,4517,13
734,1527,12
735,2525,16
736,269,7
737,2694,8
738,188,13
739,9723,9
740,9875,6
741,8266,15
742,245,16
743,2482,14
744,471,17
745,6756,12
746,2514,11
747,974,12
748,639,8
749,2250,12
750,2041,6
751,731,4
752,5113,13
753,4338,9
754,6919,9
755,6262,14
756,1969,14
757,139,11
758,8322,9
759,681,5
760,6425,9
761,5271,10
762,7195,2
763,1966,12
764,8498,7
765,3776,14
766,9971,7
767,731,10
768,3605,13
769,553,10
770,6787,2
771,6115,13
772,3553,14
773,2568,4
774,8078,14
775,9853,17
776,7123,9
777,5297,9
778,2233,7
779,2843,7
780,3187,11
781,9148,7
782,29,8
783,8944,13
784,2695,11
785,2772,12
786,4025,11
787,7732,7
788,2020,7
789,9327,7
790,4878,14
791,4916,10
792,1337,5
793,854,12
794,2018,9
795,5132,11
796,5303,4
797,6600,10
798,7103,13
799,9477,12
800,6072,11
801,5864,5
802,87,8
803,7804,8
804,1286,13
805,9491,14
806,9668,16
807,722,10
808,687,5
809,2643,3
810,5880,14
811,8319,10
812,4695,7
813,5138,5
814,8342,11
815,1038,12
816,7504,11
817,5540,14
818,8642,14
819,177,15
820,3416,8
821,7247,13
822,2859,5
823,5467,13
824,8993,7
825,4265,13
826,3201,17
827,5803,10
828,6417,1
829,6281,14
830,3920,12
831,2247,14
832,8324,14
833,242,15
834,7647,14
835,7041,5
836,5613,14
837,756,9
838,3337,15
839,6693,11
840,6390,12
841,9423,3
842,9250,16
843,5936,11
844,8878,12
845,6672,17
846,4829,8
847,1651,6
848,6903,12
849,9381,6
850,1564,3
851,7121,15
852,4609,13
853,2844,14
854,4306,15
855,7216,8
856,8784,6
857,468,6
858,5542,5
859,5716,17
860,1242,14
861,6425,17
862,7710,6
863,6451,11
864,5204,6
865,2840,14
866,6012,15
867,8970,13
868,1860,14
869,8091,17
870,5380,11
871,1622,13
872,9442,14
873,1401,12
874,7980,12
875,7934,14
